patient_id,feature,all_roles_mention,roles_mentioning,consistency_score
0,cp,False,2,0.5
0,ca,False,2,0.5
0,exang,False,1,0.25
1,exang,False,1,0.25
1,cp,False,2,0.5
1,ca,False,3,0.75
2,cp,False,2,0.5
2,ca,False,3,0.75
2,oldpeak,False,2,0.5
3,ca,False,3,0.75
3,oldpeak,False,2,0.5
3,cp,False,2,0.5
4,cp,False,2,0.5
4,ca,False,3,0.75
4,exang,False,0,0.0
5,cp,False,2,0.5
5,ca,False,2,0.5
5,oldpeak,False,2,0.5
6,cp,False,2,0.5
6,thal,False,2,0.5
6,exang,False,1,0.25
7,cp,False,2,0.5
7,ca,False,2,0.5
7,exang,False,2,0.5
8,thal,False,2,0.5
8,cp,False,2,0.5
8,ca,False,2,0.5
9,exang,False,2,0.5
9,cp,False,1,0.25
9,ca,True,4,1.0
10,ca,False,3,0.75
10,cp,False,2,0.5
10,age,False,2,0.5
11,thal,False,2,0.5
11,cp,False,2,0.5
11,oldpeak,False,1,0.25
12,cp,False,2,0.5
12,ca,False,2,0.5
12,exang,False,1,0.25
13,cp,False,2,0.5
13,ca,False,3,0.75
13,exang,False,1,0.25
14,cp,False,2,0.5
14,thal,False,1,0.25
14,ca,False,3,0.75
15,ca,False,2,0.5
15,cp,False,2,0.5
15,oldpeak,False,2,0.5
16,cp,False,2,0.5
16,exang,False,1,0.25
16,oldpeak,False,0,0.0
17,ca,False,3,0.75
17,oldpeak,False,2,0.5
17,cp,False,0,0.0
18,ca,True,4,1.0
18,cp,False,2,0.5
18,oldpeak,False,2,0.5
19,cp,False,2,0.5
19,exang,False,1,0.25
19,thal,False,0,0.0
20,cp,False,2,0.5
20,thal,False,1,0.25
20,exang,False,1,0.25
21,ca,False,3,0.75
21,cp,False,2,0.5
21,thal,False,1,0.25
22,cp,False,2,0.5
22,exang,False,2,0.5
22,ca,False,3,0.75
23,cp,False,2,0.5
23,thalach,False,2,0.5
23,ca,False,2,0.5
24,ca,False,3,0.75
24,cp,False,1,0.25
24,oldpeak,False,2,0.5
25,cp,False,2,0.5
25,thal,False,2,0.5
25,ca,False,3,0.75
26,ca,True,4,1.0
26,cp,False,2,0.5
26,exang,False,2,0.5
27,cp,False,2,0.5
27,ca,False,2,0.5
27,exang,False,1,0.25
28,ca,False,3,0.75
28,cp,False,2,0.5
28,oldpeak,False,2,0.5
29,cp,False,2,0.5
29,oldpeak,False,2,0.5
29,ca,False,3,0.75
30,ca,False,3,0.75
30,cp,False,2,0.5
30,oldpeak,False,2,0.5
31,cp,False,2,0.5
31,oldpeak,False,2,0.5
31,ca,True,4,1.0
32,ca,False,3,0.75
32,age,False,2,0.5
32,cp,False,2,0.5
33,ca,False,3,0.75
33,cp,False,2,0.5
33,age,False,1,0.25
34,cp,False,2,0.5
34,ca,False,2,0.5
34,oldpeak,False,2,0.5
35,thal,False,2,0.5
35,cp,False,2,0.5
35,exang,False,0,0.0
36,cp,False,2,0.5
36,ca,True,4,1.0
36,thal,False,0,0.0
37,cp,False,2,0.5
37,thal,False,2,0.5
37,exang,False,0,0.0
38,ca,False,3,0.75
38,cp,False,1,0.25
38,oldpeak,False,1,0.25
39,cp,False,2,0.5
39,sex,False,1,0.25
39,ca,False,3,0.75
40,ca,False,2,0.5
40,cp,False,2,0.5
40,thal,False,2,0.5
41,cp,False,2,0.5
41,thal,False,2,0.5
41,ca,False,2,0.5
42,ca,False,3,0.75
42,cp,False,1,0.25
42,thal,False,2,0.5
43,cp,False,2,0.5
43,sex,False,1,0.25
43,ca,False,2,0.5
44,ca,False,2,0.5
44,cp,False,2,0.5
44,thal,False,1,0.25
45,cp,False,1,0.25
45,exang,False,1,0.25
45,ca,False,3,0.75
46,cp,False,3,0.75
46,thal,False,2,0.5
46,exang,False,0,0.0
47,cp,False,2,0.5
47,thalach,False,1,0.25
47,ca,False,3,0.75
48,cp,False,2,0.5
48,ca,False,2,0.5
48,thal,False,0,0.0
49,ca,False,3,0.75
49,age,False,3,0.75
49,cp,False,1,0.25
